name,gender,number
ELENA,FEMALE,7551
DARYNA,FEMALE,7484
ADA,FEMALE,7467
ELEONORA,FEMALE,7374
MARZENNA,FEMALE,7320
JULIANNA,FEMALE,7307
ESTERA,FEMALE,7231
BIANKA,FEMALE,7046
LUDWIKA,FEMALE,7034
MARHARYTA,FEMALE,7006
LESIA,FEMALE,6958
MILANA,FEMALE,6851
SOFIA,FEMALE,6769
BERNADETTA,FEMALE,6619
ZENONA,FEMALE,6585
WACLAWA,FEMALE,6387
KARYNA,FEMALE,6276
ZLATA,FEMALE,6249
KIRA,FEMALE,6240
ULIANA,FEMALE,6189
ALISA,FEMALE,6130
DONATA,FEMALE,6084
WALENTYNA,FEMALE,6063
LUDMILA,FEMALE,6054
ANETTA,FEMALE,6038
YEVA,FEMALE,5971
LIDIIA,FEMALE,5924
MAYA,FEMALE,5913
OLESIA,FEMALE,5905
FELICJA,FEMALE,5903
LILIA,FEMALE,5888
RITA,FEMALE,5855
IDA,FEMALE,5731
HILDEGARDA,FEMALE,5683
ZENOBIA,FEMALE,5649
EMMA,FEMALE,5614
AMANDA,FEMALE,5561
ROMUALDA,FEMALE,5515
KSENIIA,FEMALE,5430
MYROSLAVA,FEMALE,5369
OTYLIA,FEMALE,5369
KRISTINA,FEMALE,5289
ARINA,FEMALE,5256
GIZELA,FEMALE,5242
RUSLANA,FEMALE,5127
IRMINA,FEMALE,5074
ALBINA,FEMALE,5043
DARIIA,FEMALE,4896
VITA,FEMALE,4877
VIKTORIA,FEMALE,4833
LILLA,FEMALE,4715
SLAWOMIRA,FEMALE,4706
BERNARDA,FEMALE,4599
ALENA,FEMALE,4586
ERYKA,FEMALE,4581
PELAGIA,FEMALE,4536
ANGELINA,FEMALE,4536
GAJA,FEMALE,4468
SOLOMIIA,FEMALE,4456
ANASTASIYA,FEMALE,4362
YULIYA,FEMALE,4338
LONGINA,FEMALE,4285
WALERIA,FEMALE,4149
RYSZARDA,FEMALE,4124
VLADYSLAVA,FEMALE,4114
KAMILLA,FEMALE,4063
TEODOZJA,FEMALE,4048
TEODORA,FEMALE,3970
IRINA,FEMALE,3910
ALEXANDRA,FEMALE,3894
ZHANNA,FEMALE,3880
RAISA,FEMALE,3838
MIRELA,FEMALE,3832
TATSIANA,FEMALE,3791
ADELAJDA,FEMALE,3732
ZOJA,FEMALE,3725
LILA,FEMALE,3713
VARVARA,FEMALE,3700
VOLHA,FEMALE,3654
FAUSTYNA,FEMALE,3625
ANZHELA,FEMALE,3616
KATSIARYNA,FEMALE,3559
NATALIYA,FEMALE,3496
MARINA,FEMALE,3492
MARIYA,FEMALE,3464
BOHDANA,FEMALE,3440
SAMANTA,FEMALE,3435
ANASTASIA,FEMALE,3413
OLIMPIA,FEMALE,3386
NATALLIA,FEMALE,3368
EVA,FEMALE,3349
KSENIA,FEMALE,3238
MARCELA,FEMALE,3195
MARYLA,FEMALE,3193
JAGNA,FEMALE,3146
GALYNA,FEMALE,3075
LUCJA,FEMALE,3028
YAROSLAVA,FEMALE,3019
NEL,FEMALE,3000
SNIZHANA,FEMALE,2997
ZYTA,FEMALE,2966
OKTAWIA,FEMALE,2952
KONSTANCJA,FEMALE,2914
DARYA,FEMALE,2893
PAMELA,FEMALE,2796
LEONARDA,FEMALE,2758
ZORIANA,FEMALE,2749
FELIKSA,FEMALE,2716
EMILIIA,FEMALE,2707
WANESSA,FEMALE,2702
NOEMI,FEMALE,2692
CLAUDIA,FEMALE,2673
TETYANA,FEMALE,2642
NIKOL,FEMALE,2604
SOPHIE,FEMALE,2559
EVELINA,FEMALE,2545
EMILY,FEMALE,2542
BOGNA,FEMALE,2510
MARYIA,FEMALE,2497
IULIIA,FEMALE,2492
MIRELLA,FEMALE,2474
ANZHELIKA,FEMALE,2440
STELLA,FEMALE,2391
INEZ,FEMALE,2374
LEA,FEMALE,2364
GANNA,FEMALE,2344
MICHELLE,FEMALE,2288
ZINAIDA,FEMALE,2284
TOLA,FEMALE,2272
KRZYSZTOFA,FEMALE,2270
ZOIA,FEMALE,2237
NELIA,FEMALE,2187
SARAH,FEMALE,2171
OLA,FEMALE,2169
JAŚMINA,FEMALE,2159
VALENTINA,FEMALE,2147
BOLESLAWA,FEMALE,2144
SVETLANA,FEMALE,2126
NADZIEJA,FEMALE,2122
ANGELA,FEMALE,2118
EDWARDA,FEMALE,2098
MILA,FEMALE,2088
VIKTORYIA,FEMALE,2082
ELFRYDA,FEMALE,2064
LIUDMILA,FEMALE,2056
